id X Y Z
604 87908.35938 12787.84766 46.2140007
605 87880.03125 12811.07715 42.22700119
606 87858.40625 12764.96484 47.41400146
607 87895.77344 12822.83301 41.72399902
608 87929.24219 12803.43262 44.72900009
609 87914.21875 12835.5459 41.59000015
610 87935.33594 12809.86816 44.1780014
611 87906.46875 12843.41504 41.05899811
612 87929.75781 12815.2959 41.76100159
613 87894.16406 12834.84277 40.9640007
614 87875.05469 12788.04102 43.54600143
615 87877.5625 12821.82813 41.13800049
616 87877.875 12782.29688 44.29600143
617 87860.80469 12807.28125 41.5320015
618 87885.28125 12774.51074 45.19100189
619 87923.05469 12819.32324 40.46500015
620 87917.39844 12829.88574 40.12799835
621 87909.60156 12810.61133 40.84999847
622 87903.88281 12823.16602 40.18700027
623 87905.46094 12816.34473 39.34700012
624 87890.1875 12811.99023 40.04299927
625 87864.96875 12767.08105 46.4640007
626 87868.13281 12770.0127 45.70500183
627 87865.75 12763.23145 46.6570015
628 87871.85156 12777.25293 44.62200165
629 87876.82813 12799.96289 40.47900009
630 87908.3125 12808.58105 41.45299911
631 87873.75 12795.5332 41.2159996
632 87875.60938 12771.21582 44.81900024
633 87895.9375 12800.82715 40.91799927
634 87879.3125 12788.9248 41.80699921
635 87866.78125 12791.14844 42.52999878
636 87867.60156 12783.46875 43.57500076
637 87864.14844 12786.55273 43.27099991
638 87872.3125 12788.48047 42.64799881
639 87881.78906 12784.1748 42.64300156
640 87890.07031 12803.61621 39.59600067
641 87882.92188 12799.1123 40.1269989
642 87898.11719 12791.01367 43.03099823
643 87916.10938 12797.40039 43.22299957
644 87212.14844 12715.78516 45.21300125
645 87650.39844 12488.14258 52.09500122
646 87650.39844 12488.14063 52.09500122
647 87721.14063 12727.10156 46.9090004
648 87691.21875 12725.09668 46.39799881
649 87659.5 12725.08398 46.09799957
650 87674.44531 12535.93164 49.11299896
651 87624.78125 12725.37891 45.75
652 87672.53125 12564.90039 49.97200012
653 87670.33594 12694.37305 46.45500183
654 87684.625 12706.4502 46.39300156
655 87671.1875 12691.69238 47.09600067
656 87684.60156 12706.39453 46.36299896
657 87659.09375 12557.45996 49.68899918
658 87673.03906 12681.39746 47.31900024
659 87664.10156 12543.69336 50.93500137
660 87674.40625 12667.24414 47.50299835
661 87689.375 12701.91504 46.41600037
662 87606.3125 12724.79785 45.63000107
663 87689.10156 12700.38965 43.30799866
